n_trials,min_range_pct,stretched_threshold_pct,stop_buffer_pct,time_stop_hours,n_trades,win_rate,pf,sharpe,max_dd,cagr,avg_trade_pct,median_trade_pct,gross_return,n_wins,n_losses
300,0.02,0.015,0.02,48,55,0.4909090909090909,0.8054699837794983,-0.4511223193117555,0.263238628670686,-0.08796509392493579,-0.0035543626717534495,-0.01815220924830758,-0.19548994694643973,27,28
300,0.025,0.015,0.02,48,55,0.4909090909090909,0.8054699837794983,-0.4511223193117555,0.263238628670686,-0.08796509392493579,-0.0035543626717534495,-0.01815220924830758,-0.19548994694643973,27,28
300,0.015,0.015,0.02,48,55,0.4909090909090909,0.8054699837794983,-0.4511223193117555,0.263238628670686,-0.08796509392493579,-0.0035543626717534495,-0.01815220924830758,-0.19548994694643973,27,28
300,0.005,0.015,0.02,48,55,0.4909090909090909,0.8054699837794983,-0.4511223193117555,0.263238628670686,-0.08796509392493579,-0.0035543626717534495,-0.01815220924830758,-0.19548994694643973,27,28
300,0.02,0.02,0.01,48,30,0.3333333333333333,0.7375877410579817,-0.4749037929711489,0.21456682400225252,-0.07001795945602374,-0.004953369584828693,-0.02007474730516557,-0.1486010875448608,10,20
300,0.005,0.02,0.01,48,30,0.3333333333333333,0.7375877410579817,-0.4749037929711489,0.21456682400225252,-0.07001795945602374,-0.004953369584828693,-0.02007474730516557,-0.1486010875448608,10,20
300,0.025,0.02,0.01,48,30,0.3333333333333333,0.7375877410579817,-0.4749037929711489,0.21456682400225252,-0.07001795945602374,-0.004953369584828693,-0.02007474730516557,-0.1486010875448608,10,20
300,0.015,0.02,0.01,48,30,0.3333333333333333,0.7375877410579817,-0.4749037929711489,0.21456682400225252,-0.07001795945602374,-0.004953369584828693,-0.02007474730516557,-0.1486010875448608,10,20
300,0.01,0.02,0.01,48,30,0.3333333333333333,0.7375877410579817,-0.4749037929711489,0.21456682400225252,-0.07001795945602374,-0.004953369584828693,-0.02007474730516557,-0.1486010875448608,10,20
300,0.005,0.025,0.015,48,19,0.3157894736842105,0.6862524704692043,-0.48191834356981017,0.17890197062068006,-0.06856738856310107,-0.007684418823931487,-0.02608438989169665,-0.14600395765469826,6,13
300,0.015,0.025,0.015,48,19,0.3157894736842105,0.6862524704692043,-0.48191834356981017,0.17890197062068006,-0.06856738856310107,-0.007684418823931487,-0.02608438989169665,-0.14600395765469826,6,13
300,0.02,0.025,0.015,48,19,0.3157894736842105,0.6862524704692043,-0.48191834356981017,0.17890197062068006,-0.06856738856310107,-0.007684418823931487,-0.02608438989169665,-0.14600395765469826,6,13
300,0.025,0.025,0.015,48,19,0.3157894736842105,0.6862524704692043,-0.48191834356981017,0.17890197062068006,-0.06856738856310107,-0.007684418823931487,-0.02608438989169665,-0.14600395765469826,6,13
300,0.01,0.025,0.015,48,19,0.3157894736842105,0.6862524704692043,-0.48191834356981017,0.17890197062068006,-0.06856738856310107,-0.007684418823931487,-0.02608438989169665,-0.14600395765469826,6,13
300,0.025,0.025,0.02,48,19,0.3157894736842105,0.6550068687352308,-0.5416083352601703,0.19198396020132388,-0.07782064120402332,-0.008852770943886134,-0.030059519905312634,-0.16820264793383655,6,13
300,0.01,0.025,0.02,48,19,0.3157894736842105,0.6550068687352308,-0.5416083352601703,0.19198396020132388,-0.07782064120402332,-0.008852770943886134,-0.030059519905312634,-0.16820264793383655,6,13
300,0.015,0.025,0.02,48,19,0.3157894736842105,0.6550068687352308,-0.5416083352601703,0.19198396020132388,-0.07782064120402332,-0.008852770943886134,-0.030059519905312634,-0.16820264793383655,6,13
300,0.02,0.025,0.02,48,19,0.3157894736842105,0.6550068687352308,-0.5416083352601703,0.19198396020132388,-0.07782064120402332,-0.008852770943886134,-0.030059519905312634,-0.16820264793383655,6,13
300,0.005,0.025,0.02,48,19,0.3157894736842105,0.6550068687352308,-0.5416083352601703,0.19198396020132388,-0.07782064120402332,-0.008852770943886134,-0.030059519905312634,-0.16820264793383655,6,13
300,0.025,0.015,0.01,24,55,0.41818181818181815,0.7556413455052535,-0.5439127902952021,0.21486973855827887,-0.08209236062491887,-0.003490134574251458,-0.017368955041841196,-0.19195740158383018,23,32
300,0.015,0.015,0.01,24,55,0.41818181818181815,0.7556413455052535,-0.5439127902952021,0.21486973855827887,-0.08209236062491887,-0.003490134574251458,-0.017368955041841196,-0.19195740158383018,23,32
300,0.01,0.015,0.01,24,55,0.41818181818181815,0.7556413455052535,-0.5439127902952021,0.21486973855827887,-0.08209236062491887,-0.003490134574251458,-0.017368955041841196,-0.19195740158383018,23,32
300,0.02,0.015,0.01,24,55,0.41818181818181815,0.7556413455052535,-0.5439127902952021,0.21486973855827887,-0.08209236062491887,-0.003490134574251458,-0.017368955041841196,-0.19195740158383018,23,32
300,0.005,0.015,0.01,24,55,0.41818181818181815,0.7556413455052535,-0.5439127902952021,0.21486973855827887,-0.08209236062491887,-0.003490134574251458,-0.017368955041841196,-0.19195740158383018,23,32
300,0.02,0.02,0.015,24,30,0.3333333333333333,0.689039304799779,-0.5452478814019233,0.16602653402141682,-0.07052412806020625,-0.0051257085815786495,-0.01751821019921293,-0.15377125744735948,10,20
300,0.005,0.02,0.015,24,30,0.3333333333333333,0.689039304799779,-0.5452478814019233,0.16602653402141682,-0.07052412806020625,-0.0051257085815786495,-0.01751821019921293,-0.15377125744735948,10,20
300,0.025,0.02,0.015,24,30,0.3333333333333333,0.689039304799779,-0.5452478814019233,0.16602653402141682,-0.07052412806020625,-0.0051257085815786495,-0.01751821019921293,-0.15377125744735948,10,20
