n_trials,min_range_pct,extreme_proximity_pct,stop_buffer_pct,tp_fraction,time_stop_hours,n_trades,win_rate,pf,sharpe,max_dd,cagr,avg_trade_pct,median_trade_pct,gross_return,n_wins,n_losses
1500,0.02,0.15,0.0075,0.7,4,114,0.35964912280701755,0.583777016033892,-1.4052671009031201,0.45168176645811825,-0.15196703443509874,-0.0035009816324794926,-0.006671047170004089,-0.3991119061026622,41,73
1500,0.015,0.15,0.015,0.7,8,132,0.3712121212121212,0.6042257318487694,-1.41305364798464,0.5459057557848522,-0.1908273439431708,-0.003878266611334726,-0.005375401996923162,-0.5119311926961838,49,83
1500,0.025,0.15,0.015,0.4,8,88,0.4659090909090909,0.5590323873423008,-1.4150857857924275,0.3936224284403246,-0.14266730889422818,-0.004184973587385136,-0.002665137136224,-0.368277675689892,41,47
1500,0.025,0.15,0.0075,0.5,8,88,0.3522727272727273,0.578187346026394,-1.4321980251767008,0.40306646750944397,-0.143653785978182,-0.004220018157175942,-0.01415872298649773,-0.3713615978314829,31,57
1500,0.02,0.15,0.01,0.5,6,114,0.41228070175438597,0.60068890717357,-1.4322989998485922,0.4203053373291629,-0.15041907088757678,-0.00346708010558287,-0.004527668797249416,-0.3952471320364472,47,67
1500,0.025,0.15,0.005,0.5,6,88,0.32954545454545453,0.577758350510705,-1.4361844926327718,0.36419781906020743,-0.13582644045298564,-0.003981392515923043,-0.012361252754434811,-0.3503625414012278,29,59
1500,0.025,0.15,0.015,0.4,6,88,0.4659090909090909,0.5566322433826948,-1.4407467092513484,0.37985252062245367,-0.1412078654396587,-0.004145514169667633,-0.002553066102207845,-0.36480524693075167,41,47
1500,0.025,0.15,0.005,0.6,8,88,0.2840909090909091,0.5701318762555668,-1.4412552854118421,0.4163748378733536,-0.14997450836348913,-0.004417384836140951,-0.01342191099933032,-0.3887298655804036,25,63
1500,0.025,0.15,0.005,0.5,8,88,0.32954545454545453,0.5764479660588776,-1.446923818222701,0.3684228410449928,-0.13809961557053452,-0.0040527863410771275,-0.012361252754434811,-0.3566451980147872,29,59
1500,0.025,0.2,0.015,0.7,6,133,0.3308270676691729,0.6101872481075663,-1.4660859622316862,0.5287965682229563,-0.2047024480787979,-0.004068260471736299,-0.0074716851843581785,-0.5410786427409278,44,89
1500,0.02,0.15,0.01,0.6,8,114,0.3508771929824561,0.5846134218234477,-1.46746986859706,0.48052772596744703,-0.16798296853496586,-0.0039014887848619266,-0.005448504596704059,-0.44476972147425964,40,74
