lookback_days,breakout_proximity_pct,entry_hour_utc,exit_hour_utc,n_trades,win_rate,pf,sharpe,max_dd,cagr,avg_trade_pct,median_trade_pct,gross_return,n_wins,n_losses
10,0.005,21,14,39,0.4358974358974359,1.4523260294252118,0.5378427108979517,0.10804916257974512,0.06154756569137354,0.004248235544344287,-0.002660277404514152,0.16568118622942718,17,22
20,0.0,20,13,12,0.4166666666666667,1.7281964006217834,0.5307642629053219,0.0786625352150778,0.05067335087028191,0.0080998795704795,-0.003510699235159039,0.09719855484575399,5,7
5,0.0,20,15,21,0.5238095238095238,1.5437526966542068,0.5274011772974567,0.10348867008619574,0.04956000539768146,0.006049835579431562,0.006429680100331346,0.1270465471680628,11,10
5,0.0,21,15,14,0.5714285714285714,1.6863252444337968,0.5233541089956144,0.08770671608636245,0.042590046980957696,0.005791988602515048,0.003162881846205742,0.08108784043521067,8,6
15,0.0,21,13,12,0.4166666666666667,1.7138912452247255,0.5014262487754827,0.08710209298774534,0.04388311414457102,0.007031957336588378,-0.0012773209716901734,0.08438348803906054,5,7
10,0.005,22,14,35,0.42857142857142855,1.4316281792832881,0.49900690881467247,0.12769614929025122,0.04977797549405749,0.0038176505374689306,-0.0036257833078594303,0.13361776881141257,15,20
10,0.005,22,15,35,0.5142857142857142,1.4543639863925568,0.4929615537908851,0.12381901084363586,0.05020003905242776,0.003867461177558356,0.0010630067503145995,0.13536114121454246,18,17
15,0.0,20,14,13,0.46153846153846156,1.5855324024744746,0.4791137456607301,0.09664587301555562,0.048077829610946754,0.007249261839228199,-0.004646319154213946,0.09424040390996659,6,7
15,0.0,20,13,13,0.38461538461538464,1.6109241622821269,0.47647199350920777,0.07866253521507774,0.0449281247356903,0.006729351756323516,-0.006044753571161366,0.0874815728322057,5,8
10,0.0,21,13,13,0.38461538461538464,1.6440549733077876,0.4711964975230439,0.08710209298774528,0.04094117446972367,0.006104806854164826,-0.001751538479058042,0.07936248910414273,5,8
5,0.0,21,14,14,0.42857142857142855,1.5927508299986108,0.46820260260743846,0.08872676569092044,0.041796278661550446,0.005810780430814364,-0.0028678319246113813,0.0813509260314011,6,8
15,0.01,21,14,51,0.43137254901960786,1.3199434321701662,0.4591295024101247,0.11510645556207982,0.053952068017506516,0.0029296087180184526,-0.0029239490459237786,0.14941004461894108,22,29
15,0.01,21,15,51,0.39215686274509803,1.290386062181522,0.43405713450968897,0.10303760220337223,0.050544619274999425,0.0027799702381806415,-0.005206837979860627,0.14177848214721273,20,31
5,0.0,21,13,14,0.35714285714285715,1.5389270275977842,0.420254847447834,0.0871020929877454,0.036019236919754505,0.005067486251980309,-0.0033862687069879317,0.07094480752772434,5,9
20,0.0,20,15,12,0.5,1.4558486256711873,0.41577909423735215,0.11121896323017955,0.03989874456934728,0.0066545280143533595,-0.001504243883894028,0.07985433617224032,6,6
20,0.01,21,14,44,0.4318181818181818,1.29484646837573,0.3962731075332355,0.09804205130526197,0.042464133425923256,0.0027237685658730412,-0.0027921132252189656,0.11984581689841382,19,25
10,0.01,22,13,63,0.42857142857142855,1.225255036620493,0.36799328471853887,0.1292760816569818,0.03964128142095147,0.0018288556352540402,-0.004033445749505714,0.11521790502100454,27,36
20,0.005,21,14,29,0.4482758620689655,1.31886555422688,0.3515844930574798,0.11858260114753144,0.03413963508272122,0.0033561199670163705,-0.0015637185980294892,0.09732747904347475,13,16
10,0.005,21,13,39,0.38461538461538464,1.2793046453855,0.35113572174648316,0.11183796749319101,0.035311163139509105,0.002619030820299877,-0.0037724697857195477,0.10214220199169521,15,24
15,0.0,20,15,13,0.46153846153846156,1.3505268757110396,0.3430762267824801,0.11121896323017935,0.031897259904523745,0.005091770414310941,-0.013661320786198103,0.06619301538604223,6,7
15,0.01,21,13,51,0.35294117647058826,1.2232021851259656,0.31780170407120373,0.14293916084698424,0.032310967010694025,0.0018779622485712354,-0.002958821824085432,0.095776074677133,18,33
5,0.01,20,15,97,0.41237113402061853,1.1383571780086472,0.31145494774887295,0.21645128308361894,0.0420066296566135,0.0015233157538250886,-0.005142324200031172,0.1477616281210336,40,57
10,0.01,22,14,63,0.4126984126984127,1.1814389927076483,0.30860004935829605,0.1295433472493219,0.034159994720583065,0.0016898718937879314,-0.0031443595617395136,0.10646192930863968,26,37
20,0.01,21,15,44,0.4090909090909091,1.211711579788623,0.3084523111630267,0.0968089320735029,0.031256408186496776,0.002133080620827792,-0.004904546837935763,0.09385554731642284,18,26
5,0.005,21,15,53,0.4339622641509434,1.171994635155331,0.28062780422863204,0.17797271732853917,0.030765557262138588,0.0018930458808023621,-0.0018331022466078779,0.10033143168252519,23,30
20,0.01,21,13,44,0.36363636363636365,1.2060701222407895,0.2705712381149763,0.1197867795215507,0.024658460409483496,0.0016992285086045106,-0.002076659362305792,0.07476605437859847,16,28
20,0.005,20,14,30,0.36666666666666664,1.2230730321771501,0.2682740734606781,0.12934863147851455,0.026134271671445886,0.002716178152727899,-0.006041276912708041,0.08148534458183697,11,19
20,0.005,21,15,29,0.4482758620689655,1.219699779684328,0.26666318952051293,0.11641408493634382,0.024062066702770002,0.002532505511413544,-0.0037885431658031153,0.07344265983099277,13,16
20,0.005,20,13,30,0.36666666666666664,1.2270274252841982,0.2582604669228415,0.11873851919007435,0.02348347341084267,0.0024103516583773047,-0.0072332687537035026,0.07231054975131915,11,19
15,0.005,21,14,33,0.42424242424242425,1.2048615362570656,0.25595068438826535,0.10847028427915525,0.023321146978912966,0.0021942098908692845,-0.002660277404514152,0.07240892639868639,14,19
15,0.01,22,14,53,0.4339622641509434,1.1581911491443189,0.25138715187422184,0.17169829296981587,0.02530390902880697,0.0015719014292931168,-0.002115485594027966,0.08331077575253519,23,30
15,0.005,20,14,34,0.38235294117647056,1.1934672393081096,0.25098065980000195,0.10789601845808841,0.02420934230163474,0.0022820413218783728,-0.006041276912708041,0.07758940494386467,13,21
15,0.005,21,15,33,0.42424242424242425,1.1793575279914392,0.2349832224053815,0.09745835027185511,0.020607662748132416,0.0019899744195156204,-0.005206837979860627,0.06566915584401548,14,19
15,0.005,20,15,34,0.4117647058823529,1.1677030946607847,0.2328287415176877,0.09740515332638655,0.021953400171760284,0.002140401744317848,-0.011161413013447138,0.07277365930680683,14,20
10,0.01,22,15,63,0.42857142857142855,1.1343971693316157,0.2292312847841785,0.15787746790818574,0.023414051387273593,0.001327985852341309,-0.0041458703640655445,0.08366310869750246,27,36
20,0.005,21,13,29,0.3793103448275862,1.202345668230564,0.22853874387127193,0.12375841110902851,0.019167616761654127,0.002080387490811473,-0.002016628652418294,0.06033123723353272,11,18
5,0.01,20,14,97,0.41237113402061853,1.1011000822604797,0.22348222071599913,0.20218940220909326,0.024888630195724515,0.001094139182808409,-0.004552325925623487,0.10613150073241569,40,57
5,0.005,22,15,50,0.48,1.1424279647018991,0.21960362419873067,0.18129715827744886,0.020736125549524864,0.0014460155119762064,-0.0002641638523035181,0.07230077559881032,24,26
5,0.005,21,14,53,0.39622641509433965,1.134553105839016,0.21815330990896917,0.18273329791785461,0.02143158590139027,0.0014661013574562396,-0.002756687898089254,0.07770337194518069,21,32
15,0.005,22,13,27,0.4074074074074074,1.1554257740657665,0.18648991180402139,0.12230701860427837,0.013225690496393439,0.0015724409723601692,-0.008542722684330206,0.04245590625372457,11,16
15,0.01,22,15,53,0.41509433962264153,1.1097990556496249,0.17513044920395354,0.18822672555442344,0.015097794137868714,0.0011662784210484537,-0.004540167276545111,0.06181275631556805,22,31
15,0.005,22,14,27,0.4074074074074074,1.1438649721850203,0.17257199283621782,0.1266827532998255,0.012281068188530586,0.0015331482906147233,-0.007197937990459271,0.04139500384659753,11,16
